Taxon id;Global sorteringsordning;Vetenskapligt namn;Svenskt namn;Kategori;Observationer;Landskapstyp;RedListCategory;Rödlistningskriterium
264958;98275;Dactylorhiza majalis subsp. calcifugiens;thynycklar;Underart;0;;NA;
6002893;98276;Dactylorhiza majalis subsp. elatior;gotlandsnycklar;Underart;0;Jordbrukslandskap (J) - Stor betydelse, Våtmark (V) - Stor betydelse;EN;"C2a(i); D"
264959;98277;Dactylorhiza majalis subsp. integrata;englandsnycklar;Underart;89;Jordbrukslandskap (J) - Stor betydelse, Urban miljö (U) - Stor betydelse, Våtmark (V) - Har betydelse;VU;D2
264961;98278;Dactylorhiza majalis var. integrata;äkta englandsnycklar;Varietet;0;Jordbrukslandskap (J) - Stor betydelse, Urban miljö (U) - Stor betydelse, Våtmark (V) - Stor betydelse;NE;
264962;98279;Dactylorhiza majalis var. junialis;leopardnycklar;Varietet;0;Jordbrukslandskap (J) - Stor betydelse, Urban miljö (U) - Stor betydelse, Våtmark (V) - Stor betydelse;NE;
219794;98280;Dactylorhiza majalis subsp. lapponica;sumpnycklar;Underart;4420;Jordbrukslandskap (J) - Stor betydelse, Våtmark (V) - Stor betydelse;LC;
219789;98282;Dactylorhiza majalis subsp. lapponica;lappnycklar;Underart;0;Jordbrukslandskap (J) - Stor betydelse, Våtmark (V) - Har betydelse;;
514;98283;Dactylorhiza majalis subsp. majalis;majnycklar;Underart;1612;Jordbrukslandskap (J) - Stor betydelse, Våtmark (V) - Har betydelse;NT;A2b
264960;98284;Dactylorhiza majalis subsp. purpurella;strandnycklar;Underart;2;;NA;
264963;98285;Dactylorhiza majalis var. cambrensis;fläckiga strandnycklar;Varietet;0;;NA;
264964;98286;Dactylorhiza majalis var. pulchella;äkta strandnycklar;Varietet;0;;NA;
219793;98287;Dactylorhiza majalis subsp. sphagnicola;mossnycklar;Underart;1228;Våtmark (V) - Stor betydelse;LC;
6008881;98288;Dactylorhiza majalis subsp. majalis × subsp. integrata var. integrata;majnycklar × äkta englandsnycklar;Hybrid;0;;NA;
6008882;98289;Dactylorhiza majalis subsp. majalis × subsp. purpurella var. pulchella;majnycklar × äkta strandnycklar;Hybrid;0;;NA;
219792;98290;Dactylorhiza sambucina;Adam och Eva;Art;7439;Jordbrukslandskap (J) - Stor betydelse;LC;
6034774;98291;Dactylorhiza incarnata × maculata;ängsnycklar × fläcknycklar;Hybrid;30;;NA;
6010640;98292;Dactylorhiza incarnata × maculata subsp. fuchsii;ängsnycklar × skogsnycklar;Hybrid;55;Jordbrukslandskap (J) - Stor betydelse, Våtmark (V) - Stor betydelse;NA;
6034775;98293;Dactylorhiza incarnata × maculata subsp. maculata;ängsnycklar × Jungfru Marie nycklar;Hybrid;14;;NA;
6010641;98294;Dactylorhiza incarnata × majalis subsp. lapponica;ängsnycklar × sumpnycklar;Hybrid;5;Våtmark (V) - Stor betydelse;NA;
6010519;98295;Dactylorhiza incarnata × sambucina;ängsnycklar × Adam och Eva;Hybrid;5;Jordbrukslandskap (J) - Stor betydelse, Våtmark (V) - Stor betydelse;NA;
6010639;98296;Dactylorhiza incarnata var. cruenta × maculata;blodnycklar × fläcknycklar;Hybrid;4;Våtmark (V) - Stor betydelse;NA;
223575;98297;Dactylorhiza incarnata var. cruenta × maculata subsp. fuchsii;blodnycklar × skogsnycklar;Hybrid;24;Våtmark (V) - Stor betydelse;NA;
223576;98298;Dactylorhiza incarnata var. cruenta × maculata subsp. maculata;blodnycklar × Jungfru Marie nycklar;Hybrid;5;Våtmark (V) - Stor betydelse;NA;
223574;98299;Dactylorhiza incarnata var. cruenta × majalis subsp. lapponica;blodnycklar × sumpnycklar;Hybrid;5;Våtmark (V) - Stor betydelse;NA;
259705;98300;Dactylorhiza incarnata var. incarnata × maculata;äkta ängsnycklar × fläcknycklar;Hybrid;76;;NA;
223581;98301;Dactylorhiza incarnata var. incarnata × maculata subsp. fuchsii;hybridnycklar;Hybrid;141;Våtmark (V) - Stor betydelse;NA;
223582;98302;Dactylorhiza incarnata var. incarnata × maculata subsp. maculata;äkta ängsnycklar × Jungfru Marie nycklar;Hybrid;39;Våtmark (V) - Stor betydelse;NA;
264965;98303;Dactylorhiza incarnata var. incarnata × majalis subsp. integrata;äkta ängsnycklar × englandsnycklar;Hybrid;0;;NA;
223580;98304;Dactylorhiza incarnata var. incarnata × majalis subsp. lapponica;äkta ängsnycklar × sumpnycklar;Hybrid;94;Våtmark (V) - Stor betydelse;NA;
223583;98305;Dactylorhiza incarnata var. incarnata × majalis subsp. majalis;äkta ängsnycklar × majnycklar;Hybrid;55;Våtmark (V) - Stor betydelse;NA;
6010518;98306;Dactylorhiza incarnata var. incarnata × majalis subsp. sphagnicola;äkta ängsnycklar × mossnycklar;Hybrid;1;Våtmark (V) - Stor betydelse;NA;
264966;98307;Dactylorhiza incarnata var. incarnata × majalis var. cambrensis;äkta ängsnycklar × fläckiga strandnycklar;Hybrid;0;;NA;
264967;98308;Dactylorhiza incarnata var. incarnata × majalis var. pulchella;äkta ängsnycklar × äkta strandnycklar;Hybrid;0;;NA;
223586;98309;Dactylorhiza incarnata var. ochroleuca × majalis subsp. majalis;vaxnycklar × majnycklar;Hybrid;0;Våtmark (V) - Stor betydelse;NA;
6010643;98310;Dactylorhiza maculata × majalis subsp. lapponica;fläcknycklar × sumpnycklar;Hybrid;7;Våtmark (V) - Stor betydelse;NA;
6010520;98312;Dactylorhiza maculata subsp. fuchsii × majalis subsp. elatior;skogsnycklar × gotlandsnycklar;Hybrid;0;Våtmark (V) - Stor betydelse;NA;
223588;98313;Dactylorhiza maculata subsp. fuchsii × majalis subsp. lapponica;skogsnycklar × sumpnycklar;Hybrid;34;Våtmark (V) - Stor betydelse;NA;
223594;98314;Dactylorhiza maculata subsp. fuchsii × majalis subsp. majalis;skogsnycklar × majnycklar;Hybrid;9;Våtmark (V) - Stor betydelse;NA;
264968;98315;Dactylorhiza maculata subsp. fuchsii × majalis subsp. sphagnicola;skogsnycklar × mossnycklar;Hybrid;0;;NA;
223604;98316;Dactylorhiza maculata subsp. fuchsii × sambucina;skogsnycklar × Adam och Eva;Hybrid;4;Jordbrukslandskap (J) - Stor betydelse, Våtmark (V) - Stor betydelse;NA;
264969;98317;Dactylorhiza maculata subsp. maculata × majalis subsp. calcifugiens;Jungfru Marie nycklar × thynycklar;Hybrid;0;;NA;
223589;98318;Dactylorhiza maculata subsp. maculata × majalis subsp. lapponica;Jungfru Marie nycklar × sumpnycklar;Hybrid;22;Våtmark (V) - Stor betydelse;NA;
223599;98319;Dactylorhiza maculata subsp. maculata × majalis subsp. majalis;Jungfru Marie nycklar × majnycklar;Hybrid;16;Våtmark (V) - Stor betydelse;NA;
223600;98320;Dactylorhiza maculata subsp. maculata × majalis subsp. sphagnicola;Jungfru Marie nycklar × mossnycklar;Hybrid;40;Våtmark (V) - Stor betydelse;NA;
264970;98321;Dactylorhiza maculata subsp. maculata × majalis var. cambrensis;Jungfru Marie nycklar × fläckiga strandnycklar;Hybrid;0;;NA;
264971;98322;Dactylorhiza maculata subsp. maculata × majalis var. pulchella;Jungfru Marie nycklar × äkta strandnycklar;Hybrid;0;;NA;
219797;98324;Epipactis atrorubens;purpurknipprot;Art;7001;Skog (S) - Stor betydelse, Havsstrand (H) - Har betydelse;LC;
6040118;98325;Epipactis atrorubens subsp. atrorubens;äkta purpurknipprot;Underart;116;Skog (S) - Stor betydelse, Havsstrand (H) - Har betydelse;NE;
6040119;98326;Epipactis atrorubens subsp. triploidea;östersjöknipprot;Underart;28;Skog (S) - Stor betydelse, Havsstrand (H) - Har betydelse;NE;
219798;98327;Epipactis helleborine;skogsknipprot;Art;14966;Skog (S) - Stor betydelse, Havsstrand (H) - Har betydelse;LC;
223609;98328;Epipactis helleborine subsp. helleborine;vanlig skogsknipprot;Underart;643;Skog (S) - Stor betydelse;NE;
264974;98329;Epipactis helleborine subsp. neerlandica;;Underart;0;;NA;
264975;98330;Epipactis helleborine var. neerlandica;dynknipprot;Varietet;0;;NA;
264976;98331;Epipactis helleborine var. renzii;skagenknipprot;Varietet;0;;NA;
6031492;98332;Epipactis helleborine subsp. orbicularis;tallknipprot;Underart;286;Havsstrand (H) - Stor betydelse, Skog (S) - Stor betydelse;NE;
264972;98333;Epipactis leptochila;grön knipprot;Art;0;;NA;
219799;98334;Epipactis palustris;kärrknipprot;Art;17597;Våtmark (V) - Stor betydelse, Jordbrukslandskap (J) - Har betydelse;LC;
619;98335;Epipactis phyllanthes;kal knipprot;Art;3;Skog (S) - Stor betydelse, Havsstrand (H) - Har betydelse;EN;C1+2a(i)
6031493;98336;Epipactis phyllanthes subsp. arenaria;sandknipprot;Underart;0;Havsstrand (H) - Stor betydelse, Skog (S) - Stor betydelse;NE;
6031495;98337;Epipactis phyllanthes subsp. confusa;dansk knipprot;Underart;0;Skog (S) - Stor betydelse;NE;
6031494;98338;Epipactis phyllanthes subsp. pendula;engelsk knipprot;Underart;0;Skog (S) - Stor betydelse;NE;
264973;98339;Epipactis purpurata;mångblommig knipprot;Art;0;;NA;
264309;98340;Epipactis atrorubens × helleborine;purpurknipprot × skogsknipprot;Hybrid;12;Skog (S) - Stor betydelse;NA;
223607;98341;Epipactis atrorubens × palustris;purpurknipprot × kärrknipprot;Hybrid;1;Våtmark (V) - Stor betydelse;NA;
223608;98342;Epipactis atrorubens × phyllanthes;purpurknipprot × kal knipprot;Hybrid;0;Skog (S) - Stor betydelse;NA;
