Taxon id;Global sorteringsordning;Vetenskapligt namn;Svenskt namn;Kategori;Observationer;Landskapstyp;RedListCategory;Rödlistningskriterium
224937;100996;Thalictrum simplex subsp. boreale;nordruta;Underart;681;Jordbrukslandskap (J) - Stor betydelse, Våtmark (V) - Stor betydelse;NE;
222931;101006;Trollius europaeus;smörbollar;Art;20970;Fjäll (F) - Stor betydelse, Jordbrukslandskap (J) - Stor betydelse, Skog (S) - Har betydelse, Våtmark (V) - Har betydelse;LC;
223366;101062;Ribes nigrum;svarta vinbär;Art;15165;Jordbrukslandskap (J) - Stor betydelse, Skog (S) - Stor betydelse, Urban miljö (U) - Har betydelse;LC;
223370;101070;Ribes spicatum;skogsvinbär;Art;5213;Skog (S) - Stor betydelse, Jordbrukslandskap (J) - Har betydelse, Urban miljö (U) - Har betydelse;LC;
225188;101074;Ribes spicatum subsp. spicatum;vanliga skogsvinbär;Underart;1175;Skog (S) - Stor betydelse;LC;
220075;101096;Chrysosplenium alternifolium;gullpudra;Art;20300;Skog (S) - Stor betydelse, Våtmark (V) - Stor betydelse;LC;
223335;101098;Chrysosplenium tetrandrum;polargullpudra;Art;205;Skog (S) - Stor betydelse, Våtmark (V) - Stor betydelse;NT;B2a
223377;101121;Saxifraga adscendens;klippbräcka;Art;839;Fjäll (F) - Stor betydelse, Skog (S) - Stor betydelse, Jordbrukslandskap (J) - Har betydelse;LC;
223378;101124;Saxifraga aizoides;gullbräcka;Art;2888;Fjäll (F) - Stor betydelse, Våtmark (V) - Stor betydelse;LC;
1447;101128;Saxifraga cotyledon;fjällbrud;Art;712;Skog (S) - Stor betydelse, Fjäll (F) - Har betydelse;NT;B2a
223383;101132;Saxifraga granulata;mandelblomma;Art;25192;Jordbrukslandskap (J) - Stor betydelse;LC;
1448;101133;Saxifraga hirculus;myrbräcka;Art;2057;Våtmark (V) - Stor betydelse;NT;B2ab(ii,iii,iv)
1449;101143;Saxifraga osloënsis;hällebräcka;Art;7419;Jordbrukslandskap (J) - Stor betydelse, Urban miljö (U) - Stor betydelse;VU;A2ab
223390;101149;Saxifraga rivularis;snöbräcka;Art;785;Fjäll (F) - Stor betydelse, Våtmark (V) - Stor betydelse;LC;
223395;101154;Saxifraga tridactylites;grusbräcka;Art;6280;Jordbrukslandskap (J) - Stor betydelse;LC;
223407;101194;Petrosedum rupestre;stor fetknopp;Art;6860;Jordbrukslandskap (J) - Stor betydelse, Urban miljö (U) - Har betydelse;LC;
223397;101210;Sedum acre;gul fetknopp;Art;32471;Jordbrukslandskap (J) - Stor betydelse, Urban miljö (U) - Har betydelse;LC;
223398;101211;Sedum album;vit fetknopp;Art;14350;Jordbrukslandskap (J) - Stor betydelse, Urban miljö (U) - Har betydelse;LC;
