Dyntaxa ID number,Establishment,Växtsätt,kontroll,Växtnamn,Medelhöjd (cm),Maxhöjd (cm),Blomningsstart,Blomningsslut,Phenology,Börjar Blomma,Extreme phenology,Sena,Blommande?,Blomfärg
219576,Resident,Ört,#REF!,Lysichiton americanus Hultén & H. St. John,50,150,Maj,Juli,5,5. S Apr,4,06-aug,Ja,Gul
219928,Resident,Ört,#REF!,Lysimachia arvensis (L.) U. Manns & Anderb.,10,30,Juni,September,9,9. S Jun,2,07-jul,Ja,Röd
221154,Resident,Ört,#REF!,Lysimachia europaea (L.) U. Manns & Anderb.,10,40,Juni,Augusti,7,7.S Maj,2,07-jul,Ja,Gul
222844,Resident,Ört,#REF!,"Lysimachia maritima (L.) Galasso, Banfi & Soldano",10,40,Juli,Augusti,8,8. B Jun,1,22-jun,Ja,Gul
50,Resident,Ört,#REF!,Lysimachia minima (L.) U. Manns & Anderb.,5,15,Juni,Juli,8,8. B Jun,1,22-jun,Ja,Gul
1012,Resident,Ört,#REF!,Lysimachia nemorum L.,10,30,Juni,Augusti,9,9. S Jun,2,07-jul,Ja,Gul
221109,Resident,Ört,#REF!,Lysimachia nummularia L.,10,50,Juni,Augusti,9,9. S Jun,2,07-jul,Ja,Gul
221110,Resident,Ört,#REF!,Lysimachia punctata L.,30,100,Juli,Augusti,8,8. B Jun,1,22-jun,Ja,Gul
221111,Resident,Ört,#REF!,Lysimachia thyrsiflora L.,20,80,Juni,Augusti,8,8. B Jun,1,22-jun,Ja,Gul
221112,Resident,Ört,#REF!,Lysimachia vulgaris L.,50,150,Juli,Augusti,10,10. B Jul,3,22-jul,Ja,Gul
1896,Resident,Ört,#REF!,Lythrum portula (L.) D. A. Webb,5,20,Juni,Augusti,10,10. B Jul,3,22-jul,Ja,Vit
222087,Resident,Ört,#REF!,Lythrum salicaria L.,50,150,Juli,September,10,10. B Jul,3,22-jul,Ja,Rosa
220248,Resident,Buske,#REF!,Mahonia aquifolium (Pursh) Nutt.,50,150,April,Maj,5,5. S Apr,4,06-aug,Ja,Gul
222857,Resident,Ört,#REF!,Maianthemum bifolium (L.) F. W. Schmidt,10,30,Maj,Juni,7,7.S Maj,2,07-jul,Ja,Vit
219849,Resident,Ört,#REF!,Maianthemum stellatum (L.) Link,10,50,Maj,Juni, ,Ingen data, ,Ingen data,Ja,Vit
1056,Resident,Ört,#REF!,Malaxis monophyllos (L.) Sw.,10,30,Juni,Juli, ,Ingen data, ,Ingen data,Ja,Grön
222031,Non-resident,Träd,#REF!,Malus baccata (L.) Borkh.,500,1000,April,Maj, ,Ingen data, ,Ingen data,Ja,"Vit, rosa"
223045,Resident,Träd,#REF!,Malus domestica Borkh.,300,1000,April,Maj,6,6.B Maj,3,22-jul,Ja,"Vit, rosa"
223046,Resident,Träd,#REF!,Malus sylvestris (L.) Mill.,200,500,Maj,Juni,6,6.B Maj,3,22-jul,Ja,Vit
223047,Non-resident,Träd,#REF!,Malus toringo (Siebold) de Vriese,200,500,Maj,Juni, ,Ingen data, ,Ingen data,Ja,Vit
222032,Resident,Ört,#REF!,Malva alcea L.,50,120,Juni,Augusti,10,10. B Jul,3,22-jul,Ja,Rosa
222034,Resident,Ört,#REF!,Malva moschata L.,30,100,Juni,Augusti,9,9. S Jun,2,07-jul,Ja,Rosa
222035,Resident,Ört,#REF!,Malva neglecta Wallr.,20,60,Juni,September,8,8. B Jun,1,22-jun,Ja,Rosa
222037,Resident,Ört,#REF!,Malva parviflora L.,30,100,Juni,Augusti, ,Ingen data, ,Ingen data,Ja,Rosa
1013,Resident,Ört,#REF!,Malva pusilla Sm.,5,40,Juli,September,8,8. B Jun,1,22-jun,Ja,Vit
222039,Resident,Ört,#REF!,Malva sylvestris L.,50,150,Juni,Augusti,10,10. B Jul,3,22-jul,Ja,Rosa
919,Resident,Ört,#REF!,Malva thuringiaca (L.) Vis.,50,150,Juni,Augusti, ,Ingen data, ,Ingen data,Ja,Rosa
1019,Resident,Ört,#REF!,Marrubium vulgare L.,30,80,Juli,September,11,11. S Jul,4,06-aug,Ja,Vit
220249,Resident,Ört,#REF!,Matricaria chamomilla L.,10,50,Juni,Augusti,8,8. B Jun,1,22-jun,Ja,Vit
221702,Resident,Ört,#REF!,Matricaria discoidea DC.,10,40,Juni,Augusti,7,7.S Maj,2,07-jul,Ja,Gul
220250,Resident,Ormbunke,#REF!,Matteuccia struthiopteris (L.) Tod.,50,150,Maj,Juli,12,12. B Aug,5,21-aug,Ja,Grön
221254,Resident,Ört,#REF!,Medicago lupulina L.,10,40,Juni,Augusti,5,5. S Apr,4,06-aug,Ja,Gul
1023,Resident,Ört,#REF!,Medicago minima (L.) Bartal.,10,30,Juni,Augusti,6,6.B Maj,3,22-jul,Ja,Gul
221245,Resident,Ört,#REF!,Medicago sativa ssp. falcata,20,100,Juni,Augusti,9,9. S Jun,2,07-jul,Ja,Gul
221244,Resident,Ört,#REF!,Medicago sativa ssp. sativa,50,100,Juni,Augusti,8,8. B Jun,1,22-jun,Ja,"Lila, blå"
224139,Resident,Ört,#REF!,Medicago sativa ssp. x varia,50,100,Juni,September,8,8. B Jun,1,22-jun,Ja,Lila
1028,Resident,Ört,#REF!,Melampyrum arvense L.,20,60,Juni,Augusti,8,8. B Jun,1,22-jun,Ja,Rosa
1897,Resident,Ört,#REF!,Melampyrum cristatum L.,10,40,Juli,Augusti,9,9. S Jun,2,07-jul,Ja,Gul
221704,Resident,Ört,#REF!,Melampyrum nemorosum L.,20,50,Juni,Augusti,8,8. B Jun,1,22-jun,Ja,Gul
221705,Resident,Ört,#REF!,Melampyrum pratense L.,20,60,Juni,Augusti,7,7.S Maj,2,07-jul,Ja,Gul
221706,Resident,Ört,#REF!,Melampyrum sylvaticum L.,10,40,Juli,Augusti,8,8. B Jun,1,22-jun,Ja,Gul
222583,Resident,Gräs,#REF!,Melica ciliata L.,30,100,Juni,Augusti, ,Ingen data, ,Ingen data,Ja,Vit
222584,Resident,Gräs,#REF!,Melica nutans L.,30,60,Maj,Juni,6,6.B Maj,3,22-jul,Ja,Grön
222586,Resident,Gräs,#REF!,Melica uniflora Retz.,20,60,Juni,Juli,6,6.B Maj,3,22-jul,Ja,Grön
221274,Resident,Ört,#REF!,Melilotus albus Medik.,20,100,Juli,Augusti,8,8. B Jun,1,22-jun,Ja,Vit
221275,Resident,Ört,#REF!,Melilotus altissimus Thuill.,50,150,Juni,Augusti,9,9. S Jun,2,07-jul,Ja,Gul
