Dyntaxa ID number,Establishment,Växtsätt,kontroll,Växtnamn,Medelhöjd (cm),Maxhöjd (cm),Blomningsstart,Blomningsslut,Phenology,Börjar Blomma,Extreme phenology,Sena,Blommande?,Blomfärg
222135,Resident,Träd,#REF!,Abies alba Mill.,1000,2000,April,Maj, ,Ingen data, ,Ingen data,Ja,Grön
222138,Non-resident,Träd,#REF!,Abies grandis (Douglas ex D. Don) Lindl.,2000,5000,Maj,Juni, ,Ingen data, ,Ingen data,Ja,Grön
5,Resident,Träd,#REF!,Acer campestre L.,500,2000,Maj,Juni,6,6.B Maj,3,22-jul,Ja,Grön
223314,Non-resident,Träd,#REF!,Acer negundo L.,500,1500,April,Maj, ,Ingen data, ,Ingen data,Ja,Grön 
223315,Resident,Träd,#REF!,Acer platanoides L.,1000,2500,April,Maj,5,5. S Apr,4,06-aug,Ja,Grön 
223316,Resident,Träd,#REF!,Acer pseudoplatanus L.,100,300,Maj,Juni,6,6.B Maj,3,22-jul,Ja,Grön
223319,Non-resident,Träd,#REF!,Acer tataricum L.,100,300,Maj,Juni, ,Ingen data, ,Ingen data,Ja,Grön
219899,Resident,Ört,#REF!,Achillea crithmifolia Waldst. & Kit.,30,60,Juni,Augusti, ,Ingen data, ,Ingen data,Ja,Vit
219902,Resident,Ört,#REF!,Achillea filipendulina Lam.,50,150,Juli,Augusti,10,10. B Jul,3,22-jul,Ja,Gul
219906,Resident,Ört,#REF!,Achillea millefolium L.,40,100,Juni,Augusti,8,8. B Jun,1,22-jun,Ja,"Vit, rosa"
219909,Resident,Ört,#REF!,Achillea ptarmica L.,30,80,Juni,Augusti,9,9. S Jun,2,07-jul,Ja,Vit
222767,Resident,Ört,#REF!,Aconitum × stoerkianum Rchb.,50,120,Juli,Augusti,11,11. S Jul,4,06-aug,Ja,Blå
219914,Resident,Ört,#REF!,Aconitum lycoctonum L.,50,150,Juli,Augusti, ,Ingen data, ,Ingen data,Ja,Gul
6,Resident,Ört,#REF!,Aconitum napellus L.,50,150,Juli,Augusti,11,11. S Jul,4,06-aug,Ja,Blå
220614,Non-resident,Ört,#REF!,Aconogonon × fennicum Reiersen,50,150,Juli,Augusti,9,9. S Jun,2,07-jul,Ja,Rosa
222769,Resident,Ört,#REF!,Aconogonon alpinum (All.) Schur,50,100,Juli,Augusti, ,Ingen data, ,Ingen data,Ja,"Rosa, vit"
220615,Resident,Ört,#REF!,Aconogonon divaricatum (L.) Nakai,20,80,Juni,Augusti,11,11. S Jul,4,06-aug,Ja,Grön
220616,Non-resident,Ört,#REF!,Aconogonon weyrichii (F. Schmidt ex Maxim.) H. Hara,50,200,Juli,September,8,8. B Jun,1,22-jun,Ja,Vit
220617,Resident,Ört,#REF!,Acorus calamus L.,50,150,Juli,Augusti,9,9. S Jun,2,07-jul,Ja,Grön
8,Resident,Ört,#REF!,Actaea erythrocarpa (Fisch.) Kom.,20,50,Juni,Augusti, ,Ingen data, ,Ingen data,Ja,Vit
222770,Resident,Ört,#REF!,Actaea rubra (Aiton) Willd.,30,60,Juni,Juli, ,Ingen data, ,Ingen data,Ja,Vit
222771,Resident,Ört,#REF!,Actaea spicata L.,20,60,Maj,Juni,7,7.S Maj,2,07-jul,Ja,Vit
9,Resident,Ört,#REF!,Adonis vernalis L.,20,40,April,Maj,5,5. S Apr,4,06-aug,Ja,Gul
222776,Resident,Ört,#REF!,Adoxa moschatellina L.,5,20,April,Maj,4,4. B Apr,5,21-aug,Ja,Grön
222185,Resident,Ört,#REF!,Aegopodium podagraria L.,30,100,Maj,Juli,8,8. B Jun,1,22-jun,Ja,Vit
223321,Resident,Träd,#REF!,Aesculus hippocastanum L.,1000,2500,Maj,Juni,7,7.S Maj,2,07-jul,Ja,Vit
219619,Resident,Ört,#REF!,Aethusa cynapium L.,10,50,Juli,September,9,9. S Jun,2,07-jul,Ja,Vit
221593,Non-resident,Ört,#REF!,Agastache rugosa (Fisch. & C. A. Mey.) Kuntze,50,150,Juli,September,11,11. S Jul,4,06-aug,Ja,Blå
219918,Resident,Ört,#REF!,Agrimonia eupatoria L.,30,100,Juli,Augusti,11,11. S Jul,4,06-aug,Ja,Gul
11,Resident,Ört,#REF!,Agrimonia procera Wallr.,50,100,Juli,September,11,11. S Jul,4,06-aug,Ja,Gul
14,Resident,Ört,#REF!,Agrostemma githago L.,50,100,Juni,Augusti,8,8. B Jun,1,22-jun,Ja,Rosa
222187,Resident,Gräs,#REF!,Agrostis canina L.,20,60,Juni,Augusti,11,11. S Jul,4,06-aug,Ja,Grön
222188,Resident,Gräs,#REF!,Agrostis capillaris L.,30,100,Juni,Augusti,10,10. B Jul,3,22-jul,Ja,Grön
15,Resident,Gräs,#REF!,Agrostis clavata Trin.,20,80,Juni,Augusti, ,Ingen data, ,Ingen data,Ja,Grön
222192,Resident,Gräs,#REF!,Agrostis gigantea Roth,50,150,Juni,Augusti,11,11. S Jul,4,06-aug,Ja,Grön
222194,Resident,Gräs,#REF!,Agrostis mertensii Trin.,20,50,Juli,Augusti, ,Ingen data, ,Ingen data,Ja,Grön
222197,Resident,Gräs,#REF!,Agrostis scabra Willd.,20,100,Juni,Augusti, ,Ingen data, ,Ingen data,Ja,Grön
222198,Resident,Gräs,#REF!,Agrostis stolonifera L.,20,100,Juli,Augusti,11,11. S Jul,4,06-aug,Ja,Grön
222200,Resident,Gräs,#REF!,Agrostis vinealis Schreb.,20,60,Juni,Juli,10,10. B Jul,3,22-jul,Ja,Grön
16,Resident,Gräs,#REF!,Aira caryophyllea L.,10,50,Juni,Augusti,7,7.S Maj,2,07-jul,Ja,Grön
222203,Resident,Gräs,#REF!,Aira praecox L.,10,40,Juni,Augusti,6,6.B Maj,3,22-jul,Ja,Grön
17,Resident,Ört,#REF!,Ajuga genevensis L.,10,40,Maj,Juni,6,6.B Maj,3,22-jul,Ja,Blå
221597,Resident,Ört,#REF!,Ajuga pyramidalis L.,10,30,Maj,Juni,6,6.B Maj,3,22-jul,Ja,Blå
18,Resident,Ört,#REF!,Ajuga reptans L.,10,30,Maj,Juli,6,6.B Maj,3,22-jul,Ja,Blå
222777,Non-resident,Ört,#REF!,Alcea rosea L.,50,250,Juli,September,11,11. S Jul,4,06-aug,Ja,Rosa
222015,Resident,Ört,#REF!,Alchemilla acutiloba Opiz,10,40,Juni,Augusti,7,7.S Maj,2,07-jul,Ja,Grön
222934,Resident,Ört,#REF!,Alchemilla alpina L.,5,15,Juni,Juli, ,Ingen data, ,Ingen data,Ja,Grön
222935,Resident,Ört,#REF!,Alchemilla baltica Sam. ex Juz.,20,50,Juni,Juli,7,7.S Maj,2,07-jul,Ja,Gulgrön
1848,Resident,Ört,#REF!,Alchemilla borealis Sam. ex Juz.,10,30,Juni,Augusti,7,7.S Maj,2,07-jul,Ja,Grön
222937,Resident,Ört,#REF!,Alchemilla chirophylla,10,40,Juni,Augusti,7,7.S Maj,2,07-jul,Ja,Grön
222940,Resident,Ört,#REF!,Alchemilla cymatophylla Juz.,10,40,Juni,Augusti,7,7.S Maj,2,07-jul,Ja,Grön
222941,Resident,Ört,#REF!,Alchemilla filicaulis Buser,10,30,Juni,Augusti,7,7.S Maj,2,07-jul,Ja,Grön
222942,Resident,Ört,#REF!,Alchemilla glabra Neygenf.,10,40,Juni,Augusti,7,7.S Maj,2,07-jul,Ja,Grön
222943,Resident,Ört,#REF!,Alchemilla glaucescens Wallr.,10,40,Juni,Augusti,7,7.S Maj,2,07-jul,Ja,Grön
222944,Resident,Ört,#REF!,Alchemilla glomerulans Buser,10,30,Juni,Augusti,7,7.S Maj,2,07-jul,Ja,Grön
20,Resident,Ört,#REF!,Alchemilla heptagona Juz.,10,40,Juni,Augusti,7,7.S Maj,2,07-jul,Ja,Grön
222947,Resident,Ört,#REF!,Alchemilla micans Buser,10,40,Juni,Augusti,7,7.S Maj,2,07-jul,Ja,Grön
222948,Resident,Ört,#REF!,Alchemilla mollis (Buser) Rothm.,30,80,Juni,Augusti,7,7.S Maj,2,07-jul,Ja,Grön
222949,Resident,Ört,#REF!,Alchemilla monticola Opiz,10,40,Juni,Augusti,7,7.S Maj,2,07-jul,Ja,Grön
222950,Resident,Ört,#REF!,Alchemilla murbeckiana Buser,10,30,Juni,Augusti,7,7.S Maj,2,07-jul,Ja,Grön
22,Resident,Ört,#REF!,Alchemilla oxyodonta (Buser) C. G. Westerl.,10,40,Juni,Augusti,7,7.S Maj,2,07-jul,Ja,Grön
222954,Resident,Ört,#REF!,Alchemilla plicata Buser,10,40,Juni,Augusti,7,7.S Maj,2,07-jul,Ja,Grön
222955,Resident,Ört,#REF!,Alchemilla propinqua H. Lindb. ex Juz.,10,40,Juni,Augusti,7,7.S Maj,2,07-jul,Ja,Grön
21,Resident,Ört,#REF!,Alchemilla samuelssonii Rothm. ex S. E. Fröhner,10,40,Juni,Augusti,7,7.S Maj,2,07-jul,Ja,Grön
222958,Resident,Ört,#REF!,Alchemilla sarmatica Juz.,10,30,Juni,Augusti,7,7.S Maj,2,07-jul,Ja,Grön
222960,Resident,Ört,#REF!,Alchemilla speciosa Buser,10,30,Juni,Augusti,7,7.S Maj,2,07-jul,Ja,Grön
222961,Resident,Ört,#REF!,Alchemilla subcrenata Buser,10,40,Juni,Augusti,7,7.S Maj,2,07-jul,Ja,Grön
222962,Resident,Ört,#REF!,Alchemilla subglobosa C. G. Westerl.,10,40,Juni,Augusti,7,7.S Maj,2,07-jul,Ja,Grön
1849,Resident,Ört,#REF!,Alchemilla taernaënsis Hyl. ex Ericsson & S. Hellq.,10,40,Juni,Augusti,7,7.S Maj,2,07-jul,Ja,Grön
222964,Resident,Ört,#REF!,Alchemilla wichurae (Buser) Stefánsson,10,30,Juni,Augusti,7,7.S Maj,2,07-jul,Ja,Grön
24,Resident,Ört,#REF!,Alchemilla xanthochlora Rothm.,20,50,Juni,Augusti,7,7.S Maj,2,07-jul,Ja,Grön
29,Resident,Vattenväxt,#REF!,Alisma lanceolatum With.,30,80,Juli,Augusti, ,Ingen data, ,Ingen data,Ja,Vit
219554,Resident,Vattenväxt,#REF!,Alisma plantago-aquatica L.,30,100,Juli,Augusti,9,9. S Jun,2,07-jul,Ja,Vit
30,Resident,Vattenväxt,#REF!,Alisma wahlenbergii (Holmb.) Juz.,10,50,Juli,Augusti, ,Ingen data, ,Ingen data,Ja,Vit
219556,Resident,Ört,#REF!,Alliaria petiolata (M. Bieb.) Cavara & Grande,20,60,Maj,Juni,5,5. S Apr,4,06-aug,Ja,Vit
31,Resident,Ört,#REF!,Allium carinatum L.,30,60,Juli,Augusti,11,11. S Jul,4,06-aug,Ja,Lila
219740,Resident,Ört,#REF!,Allium hollandicum R. M. Fritsch,30,80,Juni,Juli,6,6.B Maj,3,22-jul,Ja,Lila
32,Resident,Ört,#REF!,Allium lineare L.,10,30,Juli,Augusti,10,10. B Jul,3,22-jul,Ja,Rosa
1850,Resident,Ört,#REF!,Allium lusitanicum Lam.,10,40,Juli,Augusti, ,Ingen data, ,Ingen data,Ja,Rosa
219744,Resident,Ört,#REF!,Allium oleraceum L.,30,80,Juli,Augusti,10,10. B Jul,3,22-jul,Ja,"Rosa, vit"
219745,Resident,Ört,#REF!,Allium oreophilum C. A. Mey.,20,40,Juni,Juli,8,8. B Jun,1,22-jun,Ja,Rosa
219746,Resident,Ört,#REF!,Allium paradoxum (M. Bieb.) G. Don,10,40,Mars,April,5,5. S Apr,4,06-aug,Ja,Vit
219750,Resident,Ört,#REF!,Allium rotundum L.,50,100,Juli,Augusti, ,Ingen data, ,Ingen data,Ja,Lila
219751,Resident,Ört,#REF!,Allium schoenoprasum L.,20,50,Juni,Juli,7,7.S Maj,2,07-jul,Ja,Lila
219752,Resident,Ört,#REF!,Allium scorodoprasum L.,30,80,Juli,Augusti,9,9. S Jun,2,07-jul,Ja,Grön
219755,Resident,Ört,#REF!,Allium ursinum L.,20,50,April,Juni,6,6.B Maj,3,22-jul,Ja,Vit
219756,Resident,Ört,#REF!,Allium vineale L.,30,100,Juni,Augusti,10,10. B Jul,3,22-jul,Ja,Grön
219757,Resident,Ört,#REF!,Allium zebdanense Boiss. & Noë,20,50,Maj,Juni, ,Ingen data, ,Ingen data,Ja,Vit
219758,Resident,Träd,#REF!,Alnus glutinosa (L.) Gaertn.,500,2000,April,Maj,3,3. S Mar,6,05-sep,Ja,Grön 
221388,Resident,Träd,#REF!,Alnus incana (L.) Moench,500,1500,April,Maj,3,3. S Mar,6,05-sep,Ja,Grön 
221392,Resident,Gräs,#REF!,Alopecurus aequalis Sobol.,20,60,Juni,Augusti,8,8. B Jun,1,22-jun,Ja,Grön
222205,Resident,Gräs,#REF!,Alopecurus arundinaceus Poir.,30,100,Juni,Augusti,8,8. B Jun,1,22-jun,Ja,Grön
222207,Resident,Gräs,#REF!,Alopecurus geniculatus L.,20,50,Juni,Augusti,7,7.S Maj,2,07-jul,Ja,Grön
35,Resident,Gräs,#REF!,Alopecurus myosuroides Huds.,20,100,Maj,Juni,8,8. B Jun,1,22-jun,Ja,Grön
222209,Resident,Gräs,#REF!,Alopecurus pratensis L.,50,100,Maj,Juli,6,6.B Maj,3,22-jul,Ja,Grön
222016,Resident,Ört,#REF!,Althaea officinalis L.,50,120,Juli,September,13,13. S Aug,6,05-sep,Ja,Rosa
1852,Resident,Ört,#REF!,Alyssum alyssoides (L.) L.,10,30,Juni,Augusti,6,6.B Maj,3,22-jul,Ja,Gul
220626,Resident,Ört,#REF!,Amaranthus blitum L.,20,60,Juli,September, ,Ingen data, ,Ingen data,Ja,Grön
220632,Non-resident,Ört,#REF!,Amaranthus hybridus L.,50,150,Juli,September,12,12. B Aug,5,21-aug,Ja,Grön
220637,Resident,Ört,#REF!,Amaranthus retroflexus L.,20,60,Juli,September,12,12. B Aug,5,21-aug,Ja,Grön
219920,Non-resident,Ört,#REF!,Ambrosia artemisiifolia L.,10,150,Juli,September,14,14. B Sep,7,20-sep,Ja,Grön
219922,Resident,Ört,#REF!,Ambrosia psilostachya DC.,50,150,Juli,September, ,Ingen data, ,Ingen data,Ja,Grön
219925,Resident,Buske,#REF!,Amelanchier alnifolia (Nutt.) M.Roem.,100,300,Maj,Juni, ,Ingen data, ,Ingen data,Ja,Vit
222967,Resident,Buske,#REF!,Amelanchier confusa Hyl.,100,300,Juni,Juli, ,Ingen data, ,Ingen data,Ja,Vit
222969,Resident,Buske,#REF!,Amelanchier lamarckii F. G. Schroed.,200,500,Maj,Juni,5,5. S Apr,4,06-aug,Ja,Vit
222971,Resident,Buske,#REF!,Amelanchier spicata (Lam.) K. Koch,200,500,Maj,Juni,5,5. S Apr,4,06-aug,Ja,Vit
219926,Resident,Gräs,#REF!,Ammophila arenaria (L.) Link,30,100,Juni,Augusti,10,10. B Jul,3,22-jul,Ja,Grön
224539,Resident,Gräs,#REF!,Ammophila arenaria x Calamagrostis epigejos,10,50,Juni,Augusti,10,10. B Jul,3,22-jul,Ja,Grön
221501,Resident,Ört,#REF!,Anacamptis morio (L.) R. M. Bateman et al.,10,30,Maj,Juni,6,6.B Maj,3,22-jul,Ja,Rosa
1718,Resident,Ört,#REF!,Anacamptis palustris (Jacq.) R. M. Bateman et al.,20,50,Juni,Augusti, ,Ingen data, ,Ingen data,Ja,Rosa
49,Resident,Ört,#REF!,Anacamptis pyramidalis (L.) Rich.,20,50,Juni,Juli,10,10. B Jul,3,22-jul,Ja,Rosa
221073,Resident,Ört,#REF!,Anaphalis margaritacea (L.) Benth.,30,100,Juli,September,11,11. S Jul,4,06-aug,Ja,Vit
219929,Resident,Ört,#REF!,Anchusa arvensis (L.) M. Bieb.,5,30,Juni,Augusti,8,8. B Jun,1,22-jun,Ja,Blå
221504,Resident,Ört,#REF!,Anchusa officinalis L.,30,80,Juni,Augusti,6,6.B Maj,3,22-jul,Ja,Blå
221955,Resident,Buske,#REF!,Andromeda polifolia L.,20,40,Maj,Juni,6,6.B Maj,3,22-jul,Ja,Rosa
222212,Resident,Ört,#REF!,Androsace elongata L.,5,20,Maj,Juli, ,Ingen data, ,Ingen data,Ja,Vit
221076,Resident,Ört,#REF!,Androsace septentrionalis L.,5,20,Juni,Augusti,6,6.B Maj,3,22-jul,Ja,Vit
222779,Resident,Ört,#REF!,Anemone blanda Schott & Kotschy,10,25,Mars,April,3,3. S Mar,6,05-sep,Ja,"Blå, vit, rosa"
222782,Resident,Ört,#REF!,Anemone nemorosa L.,10,30,April,Maj,3,3. S Mar,6,05-sep,Ja,Vit
224888,Resident,Ört,#REF!,Anemone nemorosa x ranunculoides,10,30,April,Maj,4,4. B Apr,5,21-aug,Ja,Vit
222783,Resident,Ört,#REF!,Anemone ranunculoides L.,10,30,April,Maj,4,4. B Apr,5,21-aug,Ja,Gul
222784,Resident,Ört,#REF!,Anemone sylvestris L.,20,50,Maj,Juni, ,Ingen data, ,Ingen data,Ja,Vit
219623,Resident,Ört,#REF!,Angelica archangelica L.,50,200,Juli,Augusti,7,7.S Maj,2,07-jul,Ja,Vit
219624,Resident,Ört,#REF!,Angelica sylvestris L.,50,200,Juli,September,10,10. B Jul,3,22-jul,Ja,Vit
222214,Resident,Gräs,#REF!,Anisantha rigida (Roth) Hyl.,20,50,Juni,Augusti, ,Ingen data, ,Ingen data,Ja,Grön
222216,Resident,Gräs,#REF!,Anisantha sterilis (L.) Nevski,30,80,Juni,Augusti,8,8. B Jun,1,22-jun,Ja,Grön
222217,Resident,Gräs,#REF!,Anisantha tectorum (L.) Nevski,10,50,Juni,Augusti,7,7.S Maj,2,07-jul,Ja,Grön
264731,Resident,Ört,#REF!,Antennaria alpina (L.) Gaertn.,5,15,Juni,Juli, ,Ingen data, ,Ingen data,Ja,Vit
219933,Resident,Ört,#REF!,Antennaria dioica (L.) Gaertn.,10,20,Juni,Augusti,5,5. S Apr,4,06-aug,Ja,Rosa
219935,Resident,Ört,#REF!,Antennaria villifera Boriss.,10,20,Juni,Juli, ,Ingen data, ,Ingen data,Ja,Rosa
1855,Resident,Ört,#REF!,Anthemis arvensis L.,10,40,Juni,Augusti,7,7.S Maj,2,07-jul,Ja,Vit
60,Resident,Ört,#REF!,Anthemis cotula L.,20,60,Juli,September,11,11. S Jul,4,06-aug,Ja,Vit
61,Resident,Ört,#REF!,Anthericum liliago L.,20,60,Maj,Juni,8,8. B Jun,1,22-jun,Ja,Vit
219763,Resident,Ört,#REF!,Anthericum ramosum L.,20,60,Juni,Juli,10,10. B Jul,3,22-jul,Ja,Vit
219764,Resident,Gräs,#REF!,Anthoxanthum nipponicum Honda,20,50,Juni,Juli, ,Ingen data, ,Ingen data,Ja,Grön
222220,Resident,Gräs,#REF!,Anthoxanthum odoratum L.,20,60,Juni,Augusti,5,5. S Apr,4,06-aug,Ja,Grön
62,Resident,Ört,#REF!,Anthriscus caucalis M. Bieb.,20,100,Maj,Juli,5,5. S Apr,4,06-aug,Ja,Vit
63,Resident,Ört,#REF!,Anthriscus cerefolium (L.) Hoffm.,30,70,Maj,Juni,6,6.B Maj,3,22-jul,Ja,Vit
219627,Resident,Ört,#REF!,Anthriscus sylvestris (L.) Hoffm.,50,150,Maj,Juni,6,6.B Maj,3,22-jul,Ja,Vit
219628,Resident,Ört,#REF!,Anthyllis vulneraria L.,20,50,Juni,Augusti,7,7.S Maj,2,07-jul,Ja,Gul
221163,Non-resident,Ört,#REF!,Antirrhinum majus L.,20,100,Juli,September,11,11. S Jul,4,06-aug,Ja,Rosa
1856,Resident,Gräs,#REF!,Apera interrupta (L.) P. Beauv.,20,50,Juni,Juli, ,Ingen data, ,Ingen data,Ja,Grön
222223,Resident,Gräs,#REF!,Apera spica-venti (L.) P. Beauv.,20,100,Juni,Augusti,10,10. B Jul,3,22-jul,Ja,Grön
222224,Resident,Ört,#REF!,Aphanes arvensis L.,5,20,Maj,Juli,5,5. S Apr,4,06-aug,Ja,Grön
1707,Resident,Ört,#REF!,Aphanes australis Rydb.,5,20,Maj,Juni,5,5. S Apr,4,06-aug,Ja,Grön
78,Resident,Ört,#REF!,Apium graveolens L.,20,60,Juli,September,10,10. B Jul,3,22-jul,Ja,Vit
222790,Resident,Ört,#REF!,Aquilegia vulgaris L.,50,80,Maj,Juli,7,7.S Maj,2,07-jul,Ja,"Blå, lila, rosa, vit"
220468,Resident,Ört,#REF!,Arabidopsis arenosa (L.) Lawalrée,10,30,Juni,Augusti,5,5. S Apr,4,06-aug,Ja,Vit
220469,Resident,Ört,#REF!,Arabidopsis petraea (L.) V. I. Dorof.,5,30,Maj,Juli, ,Ingen data, ,Ingen data,Ja,Vit
222791,Resident,Ört,#REF!,Arabidopsis suecica (Fr.) Norrl.,20,60,Juni,Juli,6,6.B Maj,3,22-jul,Ja,Vit
220417,Resident,Ört,#REF!,Arabidopsis thaliana (L.) Heynh.,5,30,Maj,September,5,5. S Apr,4,06-aug,Ja,Vit
220419,Resident,Ört,#REF!,Arabis alpina L.,20,50,Juni,Juli, ,Ingen data, ,Ingen data,Ja,Vit
220420,Resident,Ört,#REF!,Arabis blepharophylla Hook. & Arn.,10,40,Maj,Juni, ,Ingen data, ,Ingen data,Ja,Rosa
220421,Resident,Ört,#REF!,Arabis caucasica Willd. ex Schltdl.,20,50,April,Juni,4,4. B Apr,5,21-aug,Ja,Vit
220423,Resident,Ört,#REF!,Arabis hirsuta (L.) Scop.,20,60,Juni,Augusti,6,6.B Maj,3,22-jul,Ja,Vit
81,Resident,Ört,#REF!,Arabis planisiliqua (Pers.) Rchb.,10,50,Juni,Augusti, ,Ingen data, ,Ingen data,Ja,Vit
219634,Resident,Ört,#REF!,Arctium lappa L.,50,200,Juli,September,11,11. S Jul,4,06-aug,Ja,Vit
219947,Resident,Ört,#REF!,Arctium minus Bernh.,50,200,Juli,September,11,11. S Jul,4,06-aug,Ja,Rosa
219948,Resident,Ört,#REF!,Arctium nemorosum Lej.,100,200,Juli,September,11,11. S Jul,4,06-aug,Ja,Rosa
219950,Resident,Ört,#REF!,Arctium tomentosum Mill.,50,200,Juli,Augusti,10,10. B Jul,3,22-jul,Ja,Rosa
83,Resident,Gräs,#REF!,Arctophila fulva (Trin.) Andersson,20,60,Juni,Augusti, ,Ingen data, ,Ingen data,Ja,Grön
221078,Resident,Buske,#REF!,Arctostaphylos uva-ursi (L.) Spreng.,10,20,Maj,Juni,6,6.B Maj,3,22-jul,Ja,Rosa
219951,Resident,Buske,#REF!,Arctous alpina (L.) Nied.,5,20,Juni,Augusti, ,Ingen data, ,Ingen data,Ja,Rosa
219952,Resident,Ört,#REF!,Aremonia agrimonoides (L.) DC.,20,50,Maj,Juli, ,Ingen data, ,Ingen data,Ja,Gul
1857,Resident,Ört,#REF!,Arenaria gothica Fr.,5,20,Juni,Augusti, ,Ingen data, ,Ingen data,Ja,Vit
84,Resident,Ört,#REF!,Arenaria humifusa Wahlenb.,5,15,Juli,Augusti, ,Ingen data, ,Ingen data,Ja,Vit
1725,Resident,Ört,#REF!,Arenaria leptoclados (Rchb.) Guss.,5,30,Juni,Augusti,7,7.S Maj,2,07-jul,Ja,Vit
1858,Resident,Ört,#REF!,Arenaria norvegica Gunnerus,10,30,Juni,Augusti, ,Ingen data, ,Ingen data,Ja,Vit
220647,Resident,Ört,#REF!,Arenaria serpyllifolia L.,5,30,Maj,Augusti,7,7.S Maj,2,07-jul,Ja,Vit
222792,Resident,Ört,#REF!,Argentina anserina (L.) Rydb.,10,40,Juni,Augusti,8,8. B Jun,1,22-jun,Ja,Gul
223208,Resident,Träd,#REF!,Aria edulis,200,400,Maj,Juni, ,Ingen data, ,Ingen data,Ja,Vit
223211,Resident,Träd,#REF!,Aria graeca,200,800,April,Maj, ,Ingen data, ,Ingen data,Ja,Vit
1508,Resident,Buske,#REF!,Aria obtusifolia,300,1000,Maj,Juni, ,Ingen data, ,Ingen data,Ja,Vit
223220,Resident,Buske,#REF!,Aria rupicola,200,500,Maj,Juni,7,7.S Maj,2,07-jul,Ja,Vit
1860,Resident,Ört,#REF!,Aristolochia clematitis L.,50,150,Juni,Augusti,7,7.S Maj,2,07-jul,Ja,Gul
223896,Resident,Ört,#REF!,Armeria maritima ssp. elongata,20,40,Juni,Juli,6,6.B Maj,3,22-jul,Ja,Rosa
223898,Resident,Ört,#REF!,Armeria maritima ssp. maritima,10,30,Juni,Augusti,6,6.B Maj,3,22-jul,Ja,Rosa
86,Resident,Ört,#REF!,Armeria scabra Pall. ex Roem. & Schult.,10,50,Juni,Augusti, ,Ingen data, ,Ingen data,Ja,Rosa
220650,Resident,Ört,#REF!,"Armoracia rusticana G. Gaertn., B. Mey. & Scherb.",50,100,Maj,Juni,7,7.S Maj,2,07-jul,Ja,Vit
1861,Resident,Ört,#REF!,Arnica angustifolia Vahl,10,30,Juli,Augusti, ,Ingen data, ,Ingen data,Ja,Gul
219954,Resident,Ört,#REF!,Arnica chamissonis Less.,20,60,Juni,Augusti, ,Ingen data, ,Ingen data,Ja,Gul
219955,Resident,Ört,#REF!,Arnica montana L.,20,60,Juni,Augusti,8,8. B Jun,1,22-jun,Ja,Gul
89,Resident,Ört,#REF!,Arnoseris minima (L.) Schweigg. & Körte,10,30,Juli,Augusti,10,10. B Jul,3,22-jul,Ja,Gul
222226,Resident,Gräs,#REF!,Arrhenatherum elatius (L.) P. Beauv. ex J. Presl & C. Presl,50,150,Juni,Juli,8,8. B Jun,1,22-jun,Ja,Grön
219958,Resident,Ört,#REF!,Artemisia absinthium L.,30,120,Juli,September,12,12. B Aug,5,21-aug,Ja,Grön
219963,Resident,Ört,#REF!,Artemisia campestris L.,30,100,Juli,Augusti,12,12. B Aug,5,21-aug,Ja,Grön
219964,Non-resident,Ört,#REF!,Artemisia dracunculus L.,50,100,Juni,Augusti,12,12. B Aug,5,21-aug,Ja,Grön 
220319,Resident,Ört,#REF!,Artemisia maritima L.,30,100,Juli,Augusti,13,13. S Aug,6,05-sep,Ja,Grön
91,Resident,Ört,#REF!,Artemisia oelandica (Besser) Krasch.,30,60,Juli,Augusti, ,Ingen data, ,Ingen data,Nej,
219970,Resident,Ört,#REF!,Artemisia pontica L.,20,80,Juli,Augusti, ,Ingen data, ,Ingen data,Ja,Grön
1862,Resident,Ört,#REF!,Artemisia rupestris L.,20,50,Juli,Augusti, ,Ingen data, ,Ingen data,Ja,Grön
92,Extinct,Ört,#REF!,Artemisia stelleriana Besser,30,100,Juli,Augusti, ,Ingen data, ,Ingen data,Ja,Grön
6011214,Resident,Ört,#REF!,Artemisia tanacetifolia L.,40,100,Juni,Augusti, ,Ingen data, ,Ingen data,Ja,"Gul, grön"
219976,Resident,Ört,#REF!,Artemisia vulgaris L.,50,150,Juni,Augusti,11,11. S Jul,4,06-aug,Ja,Grön
219557,Resident,Ört,#REF!,Arum maculatum L.,20,50,April,Juni,7,7.S Maj,2,07-jul,Ja,Grön
222978,Resident,Ört,#REF!,Aruncus dioicus (Walter) Fernald,50,200,Juni,Juli,8,8. B Jun,1,22-jun,Ja,Vit
222979,Resident,Ört,#REF!,Asarum europaeum L.,10,20,April,Maj,8,8. B Jun,1,22-jun,Ja,Grön
222176,Resident,Ört,#REF!,Asparagus officinalis L.,50,150,Maj,Juni,8,8. B Jun,1,22-jun,Ja,Vit
109,Resident,Ört,#REF!,Asperugo procumbens L.,10,50,Juni,Augusti,7,7.S Maj,2,07-jul,Ja,Blå
6002861,Resident,Ört,#REF!,Asperula cynanchica L.,10,30,Juni,Augusti, ,Ingen data, ,Ingen data,Ja,Vit
221409,Resident,Ört,#REF!,Asperula tinctoria L.,30,60,Juni,Augusti,9,9. S Jun,2,07-jul,Ja,Rosa
110,Resident,Ört,#REF!,Asplenium adiantum-nigrum L.,20,50,Juli,Augusti,10,10. B Jul,3,22-jul,Nej,
111,Resident,Ört,#REF!,Asplenium adulterinum Milde,10,30,Juli,Augusti, ,Ingen data, ,Ingen data,Nej,
