_id,Damage,Hostplant Family,Hostplant Genus,Hostplant Species,Hostplant Subspecies/var,HOSTS ID,Insect Author,Insect Family,Insect Genus,Insect Species,Insect Subspecies,Lab Rearing,Location
14,in grass roots,Gramineae,,,,14,Clemens,Acrolophidae,Acrolophus,popeanella,,,Nearctic
23,on leaves/seeds,Oleaceae,Ligustrum,,,23,Scopoli,Adelidae,Adela,croesella,,,British Isles
7,,Gramineae,Zea,,,7,Clemens,Acrolophidae,Acrolophus,arcanella,,,Nearctic
27,on leaves/seeds,Scrophulariaceae,Veronica,,,27,Denis & Schiff.,Adelidae,Adela,fibulella,,,British Isles
24,on catkins,Salicaceae,Salix,,,24,Denis & Schiff.,Adelidae,Adela,cuprella,,,British Isles
16,on roots,Leguminosae (P),Trifolium,pratense,,16,Clemens,Acrolophidae,Acrolophus,popeanella,,,Nearctic
28,on leaves/seeds,Scrophulariaceae,Veronica,chamaedrys,,28,Denis & Schiff.,Adelidae,Adela,fibulella,,,British Isles
8,,Betulaceae,Betula,,,8,Grote,Acrolophidae,Acrolophus,morus,,,Nearctic
36,,Cornaceae,Cornus,,,36,Kearfott,Adelidae,Chalceopla,dietziella,,,Nearctic
22,on leaves/seeds,Elaeagnaceae,Hippophae,,,22,Scopoli,Adelidae,Adela,croesella,,,British Isles
42,on leaves/seeds,Dipsacaceae,Scabiosa,,,42,Hübner,Adelidae,Nemophora,cupriacella,,,British Isles
31,on leaves/seeds,Cruciferae,Cardamine,pratensis,,31,Scopoli,Adelidae,Adela,rufimitrella,,,British Isles
34,on leaves/seeds,Guttiferae,Hypericum,perforatum,,34,Denis & Schiff.,Adelidae,Adela,violella,,,British Isles
13,,Gramineae,Zea,mays,,13,Clemens,Acrolophidae,Acrolophus,popeanella,,,Nearctic
41,on leaves/seeds,Dipsacaceae,Knautia,,,41,Hübner,Adelidae,Nemophora,cupriacella,,,British Isles
51,on leaves/seeds,Dipsacaceae,Succisa,,,51,Denis & Schiff.,Adelidae,Nemophora,minimella,,,British Isles
37,,Crassulaceae,Sedum,,,37,Busck,Adelidae,Chalceopla,sedella,,,Nearctic
49,on leaves/seeds,Dipsacaceae,Scabiosa,,,49,Poda,Adelidae,Nemophora,metallica,,,British Isles
50,on leaves/seeds,Dipsacaceae,Scabiosa,,,50,Denis & Schiff.,Adelidae,Nemophora,minimella,,,British Isles
21,on leaves/seeds,Oleaceae,Fraxinus,,,21,Scopoli,Adelidae,Adela,croesella,,,British Isles
43,on leaves/seeds,Dipsacaceae,Succisa,,,43,Hübner,Adelidae,Nemophora,cupriacella,,,British Isles
47,on leaves/seeds,Labiatae,Ballota,nigra,,47,Fabricius,Adelidae,Nemophora,fasciella,,,British Isles
86,,Rosaceae,Crataegus,,,86,Chambers,Agonoxenidae,Blastodacna,curvilineella,,,Nearctic
65,in leaf-galls/seeds,Euphorbiaceae,Croton,capitatus,lindheimeri,65,Chambers,Agonoxenidae,Aetia,bipunctella,,,Nearctic
48,on leaves/seeds,Dipsacaceae,Knautia,,,48,Poda,Adelidae,Nemophora,metallica,,,British Isles
85,in shoots,Rosaceae,Malus,,,85,Haworth,Agonoxenidae,Blastodacna,atra,,,British Isles
87,in fruits,Rosaceae,Crataegus,,,87,Chambers,Agonoxenidae,Blastodacna,curvilineella,,,Nearctic
98,in bark,Salicaceae,Salix,,,98,Busck,Agonoxenidae,Chrysoclista,cambiella,,,Nearctic
101,in bark,Salicaceae,Salix,alba,,101,Fletcher,Agonoxenidae,Chrysoclista,lathamella,,,British Isles
91,in fruits,Rosaceae,Crataegus,,,91,Duponchel,Agonoxenidae,Blastodacna,hellerella,,,British Isles
105,in bark,Tiliaceae,Tilia,,,105,Clerck,Agonoxenidae,Chrysoclista,linneella,,,British Isles
107,in bark,Tiliaceae,Tilia,x vulgaris,,107,Clerck,Agonoxenidae,Chrysoclista,linneella,,,Nearctic
108,,Ericaceae,Lyonia,,,108,Busck,Agonoxenidae,Chrysoclista,villella,,,Nearctic
109,,Ericaceae,Lyonia,ligustrina,,109,Busck,Agonoxenidae,Chrysoclista,villella,,,Nearctic
99,in cambium,Salicaceae,Salix,,,99,Busck,Agonoxenidae,Chrysoclista,cambiella,,,Nearctic
115,in bark,Fagaceae,Quercus,,,115,Stainton,Agonoxenidae,Dystebenna,stephensi,,,British Isles
137,,Labiatae,Stachys,recta,,137,,Alucitidae,Alucita,,,,Europe
136,,Labiatae,Stachys,alpina,,136,,Alucitidae,Alucita,,,,Europe
135,,Compositae,Centaurea,jacea,,135,,Alucitidae,Alucita,,,,Europe
138,,Labiatae,Stachys,sylvatica,,138,,Alucitidae,Alucita,,,,Europe
146,,Caprifoliaceae,Lonicera,,,146,Linnaeus,Alucitidae,Alucita,hexadactyla,,,Netherlands
141,in stems,Labiatae,Stachys,,,141,,Alucitidae,Alucita,,,,Europe
133,in twigs,Rosaceae,Crataegus,,,133,Haworth,Agonoxenidae,Spuleria,flavicaput,,,British Isles
150,in flowers/seeds,Dipsacaceae,Knautia,arvensis,,150,Wallengren,Alucitidae,Alucita,huebneri,,,Europe
149,in flowers/seeds,Compositae,Centaurea,jacea,,149,Wallengren,Alucitidae,Alucita,huebneri,,,Europe
151,in galls,Dipsacaceae,Scabiosa,columbaria,,151,Wallengren,Alucitidae,Alucita,huebneri,,,Europe
140,in stems,Caprifoliaceae,Lonicera,,,140,,Alucitidae,Alucita,,,,Europe
229,,Corylaceae,Carpinus,caroliniana,,229,Smith,Apatelodidae,Apatelodes,torrefacta,,,Nearctic
231,,Corylaceae,Corylus,,,231,Smith,Apatelodidae,Apatelodes,torrefacta,,,Nearctic
147,in buds/leaves,Caprifoliaceae,Lonicera,periclymenum,,147,Linnaeus,Alucitidae,Alucita,hexadactyla,,,British Isles
233,,Oleaceae,Fraxinus,,,233,Smith,Apatelodidae,Apatelodes,torrefacta,,,Nearctic
235,,Aquifoliaceae,Ilex,glabra,,235,Smith,Apatelodidae,Apatelodes,torrefacta,,,Nearctic
245,,Rosaceae,Prunus,domestica,,245,Smith,Apatelodidae,Apatelodes,torrefacta,,,Nearctic
247,,Rosaceae,Prunus,maritima,,247,Smith,Apatelodidae,Apatelodes,torrefacta,,Y,Nearctic
252,,Fagaceae,Quercus,,,252,Smith,Apatelodidae,Apatelodes,torrefacta,,,Nearctic
222,,Betulaceae,Alnus,,,222,Smith,Apatelodidae,Apatelodes,torrefacta,,,Nearctic
253,,Fagaceae,Quercus,,,253,Smith,Apatelodidae,Apatelodes,torrefacta,,Y,Nearctic
228,,Caricaceae,Carica,papaya,,228,Smith,Apatelodidae,Apatelodes,torrefacta,,,Nearctic
257,,Rosaceae,Rubus,allegheniensis,,257,Smith,Apatelodidae,Apatelodes,torrefacta,,,Nearctic
220,,Aceraceae,Acer,,,220,Smith,Apatelodidae,Apatelodes,torrefacta,,,Nearctic
264,,Lauraceae,Sassafras,albidum,,264,Smith,Apatelodidae,Apatelodes,torrefacta,,,Nearctic
238,,Myricaceae,Myrica,cerifera,,238,Smith,Apatelodidae,Apatelodes,torrefacta,,,Nearctic
267,,Leguminosae (P),Strophostyles,helvula,,267,Smith,Apatelodidae,Apatelodes,torrefacta,,,Nearctic
243,,Rosaceae,Prunus,,,243,Smith,Apatelodidae,Apatelodes,torrefacta,,Y,Nearctic
224,,Betulaceae,Alnus,incana,rugosa,224,Smith,Apatelodidae,Apatelodes,torrefacta,,,Nearctic
246,,Rosaceae,Prunus,maritima,,246,Smith,Apatelodidae,Apatelodes,torrefacta,,,Nearctic
268,,Caprifoliaceae,Viburnum,,,268,Smith,Apatelodidae,Apatelodes,torrefacta,,,Nearctic
279,,Bignoniaceae,Catalpa,speciosa,,279,Dyar,Apatelodidae,Olceclostera,seraphica,,Y,Nearctic
236,,Lauraceae,Lindera,benzoin,,236,Smith,Apatelodidae,Apatelodes,torrefacta,,,Nearctic
225,,Betulaceae,Alnus,serrulata,,225,Smith,Apatelodidae,Apatelodes,torrefacta,,,Nearctic
273,,Oleaceae,Fraxinus,,,273,Grote,Apatelodidae,Olceclostera,angelica,,,Nearctic
226,,Compositae,Arctium,lappa,,226,Smith,Apatelodidae,Apatelodes,torrefacta,,,Nearctic
259,,Rosaceae,Rubus,idaeus,,259,Smith,Apatelodidae,Apatelodes,torrefacta,,,Nearctic
242,,Rosaceae,Prunus,,,242,Smith,Apatelodidae,Apatelodes,torrefacta,,,Nearctic
260,,Rosaceae,Rubus,idaeus,strigosus,260,Smith,Apatelodidae,Apatelodes,torrefacta,,,Nearctic
248,,Rosaceae,Prunus,pensylvanica,,248,Smith,Apatelodidae,Apatelodes,torrefacta,,,Nearctic
240,,Corylaceae,Ostrya,virginiana,,240,Smith,Apatelodidae,Apatelodes,torrefacta,,,Nearctic
261,,Salicaceae,Salix,,,261,Smith,Apatelodidae,Apatelodes,torrefacta,,,Nearctic
249,,Rosaceae,Prunus,serotina,,249,Smith,Apatelodidae,Apatelodes,torrefacta,,,Nearctic
262,,Salicaceae,Salix,,,262,Smith,Apatelodidae,Apatelodes,torrefacta,,Y,Nearctic
254,,Ericaceae,Rhododendron,,,254,Smith,Apatelodidae,Apatelodes,torrefacta,,,Nearctic
271,on trees/shrubs,Polyphagous,,,,271,Smith,Apatelodidae,Apatelodes,torrefacta,,,Nearctic
265,,Lauraceae,Sassafras,albidum,,265,Smith,Apatelodidae,Apatelodes,torrefacta,,Y,Nearctic
272,,Oleaceae,,,,272,Grote,Apatelodidae,Olceclostera,angelica,,,Nearctic
283,,Oleaceae,Syringa,vulgaris,,283,Dyar,Apatelodidae,Olceclostera,seraphica,,Y,Nearctic
270,on shrubs/trees,Polyphagous,,,,270,Smith,Apatelodidae,Apatelodes,torrefacta,,,Nearctic
274,,Oleaceae,Fraxinus,,,274,Grote,Apatelodidae,Olceclostera,angelica,,Y,Nearctic
276,,Oleaceae,Syringa,,,276,Grote,Apatelodidae,Olceclostera,angelica,,,Nearctic
282,,Oleaceae,Fraxinus,pennsylvanica,,282,Dyar,Apatelodidae,Olceclostera,seraphica,,Y,Nearctic
437,,Gramineae,,,,437,Linnaeus,Arctiidae,Amata,phegea,,,Europe
699,,Gramineae,,,,699,Drury,Arctiidae,Apantesis,nais,,,Nearctic
704,,Plantaginaceae,Plantago,,,704,Drury,Arctiidae,Apantesis,nais,,,Nearctic
697,on leaves,Musaceae,Musa,,,697,Druce,Arctiidae,Antichloris,viridis,,,British Isles
711,,Compositae,Taraxacum,officinale,,711,Drury,Arctiidae,Apantesis,nais,,,Nearctic
717,,Plantaginaceae,Plantago,,,717,Harris,Arctiidae,Apantesis,phalerata,,,Nearctic
714,,Violaceae,Viola,,,714,Drury,Arctiidae,Apantesis,nais,,,Nearctic
720,,Compositae,Taraxacum,officinale,,720,Harris,Arctiidae,Apantesis,phalerata,,,Nearctic
716,on low plants,Polyphagous,,,,716,Drury,Arctiidae,Apantesis,nais,,,Nearctic
723,on low plants,Polyphagous,,,,723,Harris,Arctiidae,Apantesis,phalerata,,,Nearctic
721,,Leguminosae (P),Trifolium,,,721,Harris,Arctiidae,Apantesis,phalerata,,,Nearctic
731,,Compositae,Artemisia,,,731,Packard,Arctiidae,Arachnis,picta,,,Nearctic
725,,Compositae,Taraxacum,,,725,Fabricius,Arctiidae,Apantesis,vittata,,,Nearctic
733,,Myrtaceae,Eucalyptus,,,733,Packard,Arctiidae,Arachnis,picta,,,Nearctic
702,,Chenopodiaceae,Chenopodium,,,702,Drury,Arctiidae,Apantesis,nais,,,Nearctic
737,,Leguminosae (P),Lupinus,chamissonis,,737,Packard,Arctiidae,Arachnis,picta,,,Nearctic
707,,Polygonaceae,Polygonum,erectum,,707,Drury,Arctiidae,Apantesis,nais,,,Nearctic
738,,Malvaceae,Malva,,,738,Packard,Arctiidae,Arachnis,picta,,,Nearctic
710,,Compositae,Taraxacum,,,710,Drury,Arctiidae,Apantesis,nais,,,Nearctic
742,,Plantaginaceae,Plantago,,,742,Packard,Arctiidae,Arachnis,picta,,,Nearctic
743,,Rosaceae,Rosa,,,743,Packard,Arctiidae,Arachnis,picta,,,Nearctic
719,,Compositae,Taraxacum,,,719,Harris,Arctiidae,Apantesis,phalerata,,,Nearctic
757,,Convolvulaceae,Calystegia,sepium,,757,Linnaeus,Arctiidae,Arctia,caja,,,Finland
754,,Betulaceae,Alnus,incana,,754,Linnaeus,Arctiidae,Arctia,caja,,,Finland
726,,Compositae,Taraxacum,officinale,,726,Fabricius,Arctiidae,Apantesis,vittata,,,Nearctic
758,,Chenopodiaceae,Chenopodium,album,,758,Linnaeus,Arctiidae,Arctia,caja,,,Nearctic
766,,Juglandaceae,Juglans,,,766,Linnaeus,Arctiidae,Arctia,caja,,,Nearctic
778,,Plantaginaceae,Plantago,,,778,Linnaeus,Arctiidae,Arctia,caja,,Y,Nearctic
694,on leaves,Musaceae,Musa,,,694,Fabricius,Arctiidae,Antichloris,eriphia,,,British Isles
782,,Salicaceae,Populus,balsamifera,,782,Linnaeus,Arctiidae,Arctia,caja,,,Nearctic
753,,Betulaceae,Alnus,,,753,Linnaeus,Arctiidae,Arctia,caja,,,Nearctic
787,,Rosaceae,Prunus,,,787,Linnaeus,Arctiidae,Arctia,caja,,,Nearctic
755,,Betulaceae,Betula,,,755,Linnaeus,Arctiidae,Arctia,caja,,,Finland
701,,Compositae,Artemisia,absinthium,,701,Drury,Arctiidae,Apantesis,nais,,,Nearctic
771,,Labiatae,Lamium,album,,771,Linnaeus,Arctiidae,Arctia,caja,,,Finland
788,,Rosaceae,Prunus,domestica,,788,Linnaeus,Arctiidae,Arctia,caja,,,Finland
768,,Compositae,Lactuca,sativa,,768,Linnaeus,Arctiidae,Arctia,caja,,,Nearctic
703,,Rosaceae,Fragaria,chiloensis,,703,Drury,Arctiidae,Apantesis,nais,,,Nearctic
784,,Salicaceae,Populus,tremula,,784,Linnaeus,Arctiidae,Arctia,caja,,,Finland
790,,Rosaceae,Prunus,padus,,790,Linnaeus,Arctiidae,Arctia,caja,,,Finland
777,,Plantaginaceae,Plantago,,,777,Linnaeus,Arctiidae,Arctia,caja,,,Nearctic
705,,Plantaginaceae,Plantago,major,,705,Drury,Arctiidae,Apantesis,nais,,,Nearctic
806,,Salicaceae,Salix,caprea,,806,Linnaeus,Arctiidae,Arctia,caja,,,Finland
708,,Polygonaceae,Polygonum,punctatum,,708,Drury,Arctiidae,Apantesis,nais,,,Nearctic
804,,Salicaceae,Salix,,,804,Linnaeus,Arctiidae,Arctia,caja,,,Finland
781,,Salicaceae,Populus,,,781,Linnaeus,Arctiidae,Arctia,caja,,,Nearctic
712,,Leguminosae (P),Trifolium,,,712,Drury,Arctiidae,Apantesis,nais,,,Nearctic
811,,Labiatae,Stachys,sylvatica,,811,Linnaeus,Arctiidae,Arctia,caja,,,Finland
791,,Dennstaedtiaceae,Pteridium,aquilinum,,791,Linnaeus,Arctiidae,Arctia,caja,,,Nearctic
812,,Compositae,Taraxacum,,,812,Linnaeus,Arctiidae,Arctia,caja,,,Finland
796,,Grossulariaceae,Ribes,alpinum,,796,Linnaeus,Arctiidae,Arctia,caja,,,Finland
722,,Gramineae,Zea,mays,,722,Harris,Arctiidae,Apantesis,phalerata,,,Nearctic
800,,Rosaceae,Rubus,idaeus,,800,Linnaeus,Arctiidae,Arctia,caja,,,Finland
734,,Geraniaceae,Geranium,,,734,Packard,Arctiidae,Arachnis,picta,,,Nearctic
814,,Compositae,Taraxacum,,,814,Linnaeus,Arctiidae,Arctia,caja,,,Nearctic
807,,Salicaceae,Salix,cinerea,,807,Linnaeus,Arctiidae,Arctia,caja,,,Finland
815,,Compositae,Taraxacum,officinale,,815,Linnaeus,Arctiidae,Arctia,caja,,,Nearctic
820,,Urticaceae,Urtica,dioica,gracilis,820,Linnaeus,Arctiidae,Arctia,caja,,,Nearctic
744,,Leguminosae (P),Trifolium,,,744,Packard,Arctiidae,Arachnis,picta,,,Nearctic
817,,Leguminosae (P),Trifolium,,,817,Linnaeus,Arctiidae,Arctia,caja,,,Finland
827,on grasses,Gramineae,,,,827,Linnaeus,Arctiidae,Arctia,caja,,,Nearctic
751,,Compositae,Achillea,millefolium,,751,Linnaeus,Arctiidae,Arctia,caja,,,Finland
822,,Ericaceae,Vaccinium,uliginosum,,822,Linnaeus,Arctiidae,Arctia,caja,,,Finland
832,,Betulaceae,Alnus,,,832,Harris,Arctiidae,Arctia,caja,americana,,Nearctic
752,,Alliaceae,Allium,schoenoprasum,,752,Linnaeus,Arctiidae,Arctia,caja,,,Finland
828,on herbaceous plants,Polyphagous,,,,828,Linnaeus,Arctiidae,Arctia,caja,,,British Isles
709,,Polygonaceae,Rumex,acetosella,,709,Drury,Arctiidae,Apantesis,nais,,,Nearctic
760,,Rosaceae,Crataegus,intricata,,760,Linnaeus,Arctiidae,Arctia,caja,,,Finland
829,on leaves,Pinaceae,Larix,gmelinii,,829,Linnaeus,Arctiidae,Arctia,caja,,,Russia
718,,Gramineae,Spartina,patens,,718,Harris,Arctiidae,Apantesis,phalerata,,,Nearctic
764,,Rosaceae,Fragaria,X ananassa,,764,Linnaeus,Arctiidae,Arctia,caja,,,Finland
835,,Juglandaceae,Juglans,,,835,Harris,Arctiidae,Arctia,caja,americana,,Nearctic
724,,Plantaginaceae,Plantago,,,724,Fabricius,Arctiidae,Apantesis,vittata,,,Nearctic
836,,Compositae,Lactuca,,,836,Harris,Arctiidae,Arctia,caja,americana,,Nearctic
772,,Rosaceae,Malus,pumila,,772,Linnaeus,Arctiidae,Arctia,caja,,,Finland
837,,Rosaceae,Malus,,,837,Harris,Arctiidae,Arctia,caja,americana,,Nearctic
840,,Dennstaedtiaceae,Pteridium,,,840,Harris,Arctiidae,Arctia,caja,americana,,Nearctic
740,,Leguminosae (P),Medicago,sativa,,740,Packard,Arctiidae,Arachnis,picta,,,Nearctic
783,,Salicaceae,Populus,balsamifera,trichocarpa,783,Linnaeus,Arctiidae,Arctia,caja,,,Nearctic
741,,Geraniaceae,Pelargonium,,,741,Packard,Arctiidae,Arachnis,picta,,,Nearctic
860,on herbaceous plants,Polyphagous,,,,860,Linnaeus,Arctiidae,Arctia,villica,,,British Isles
795,,Grossulariaceae,Ribes,,,795,Linnaeus,Arctiidae,Arctia,caja,,,Finland
798,,Grossulariaceae,Ribes,rubrum,,798,Linnaeus,Arctiidae,Arctia,caja,,,Finland
799,,Grossulariaceae,Ribes,uva-crispa,,799,Linnaeus,Arctiidae,Arctia,caja,,,Finland
756,,Betulaceae,Betula,pendula,,756,Linnaeus,Arctiidae,Arctia,caja,,,Finland
763,,Rosaceae,Filipendula,ulmaria,,763,Linnaeus,Arctiidae,Arctia,caja,,,Finland
810,,Rosaceae,Spiraea,salicifolia,,810,Linnaeus,Arctiidae,Arctia,caja,,,Finland
765,,Rosaceae,Geum,rivale,,765,Linnaeus,Arctiidae,Arctia,caja,,,Finland
821,,Ericaceae,Vaccinium,myrtillus,,821,Linnaeus,Arctiidae,Arctia,caja,,,Finland
972,,Lichenes,,,,972,Linnaeus,Arctiidae,Atolmis,rubricollis,,,Finland
773,,Rosaceae,Malus,pumila,,773,Linnaeus,Arctiidae,Arctia,caja,,,Nearctic
823,,Leguminosae (P),Vicia,sativa,,823,Linnaeus,Arctiidae,Arctia,caja,,,Nearctic
974,on algae,Algae,,,,974,Linnaeus,Arctiidae,Atolmis,rubricollis,,,British Isles
775,,Plantaginaceae,Plantago,,,775,Linnaeus,Arctiidae,Arctia,caja,,,Finland
831,on low plants,Polyphagous,,,,831,Linnaeus,Arctiidae,Arctia,caja,,,Nearctic
834,,Chenopodiaceae,Chenopodium,,,834,Harris,Arctiidae,Arctia,caja,americana,,Nearctic
785,,Salicaceae,Populus,tremuloides,,785,Linnaeus,Arctiidae,Arctia,caja,,,Nearctic
838,,Plantaginaceae,Plantago,,,838,Harris,Arctiidae,Arctia,caja,americana,,Nearctic
839,,Salicaceae,Populus,,,839,Harris,Arctiidae,Arctia,caja,americana,,Nearctic
789,,Rosaceae,Prunus,nana,,789,Linnaeus,Arctiidae,Arctia,caja,,,Finland
843,,Compositae,Senecio,jacobaea,,843,Harris,Arctiidae,Arctia,caja,americana,,Nearctic
973,,Lichenes,Parmelia,,,973,Linnaeus,Arctiidae,Atolmis,rubricollis,,,Finland
793,,Polygonaceae,Rheum,rhaponticum,,793,Linnaeus,Arctiidae,Arctia,caja,,,Finland
844,,Compositae,Taraxacum,,,844,Harris,Arctiidae,Arctia,caja,americana,,Nearctic
845,,Urticaceae,Urtica,,,845,Harris,Arctiidae,Arctia,caja,americana,,Nearctic
803,,Polygonaceae,Rumex,crispus,,803,Linnaeus,Arctiidae,Arctia,caja,,,Europe
1009,,Oleaceae,Fraxinus,,,1009,Linnaeus,Arctiidae,Callimorpha,dominula,,,Finland
805,,Salicaceae,Salix,,,805,Linnaeus,Arctiidae,Arctia,caja,,,Nearctic
1016,,Ranunculaceae,Ranunculus,,,1016,Linnaeus,Arctiidae,Callimorpha,dominula,,,Finland
808,,Crassulaceae,Sedum,telephium,,808,Linnaeus,Arctiidae,Arctia,caja,,,Finland
1018,,Salicaceae,Salix,,,1018,Linnaeus,Arctiidae,Callimorpha,dominula,,,Finland
999,,Plantaginaceae,Plantago,,,999,Eversmann,Arctiidae,Borearctia,menetriesii,,,Finland
809,,Rosaceae,Sorbus,aucuparia,,809,Linnaeus,Arctiidae,Arctia,caja,,,Finland
1004,,Rubiaceae,Guettarda,elliptica,,1004,Edwards,Arctiidae,Calidota,laqueata,,,Nearctic
819,,Urticaceae,Urtica,dioica,,819,Linnaeus,Arctiidae,Arctia,caja,,,Nearctic
1008,,Rosaceae,Fragaria,,,1008,Linnaeus,Arctiidae,Callimorpha,dominula,,,Finland
1013,,Boraginaceae,Myosotis,,,1013,Linnaeus,Arctiidae,Callimorpha,dominula,,,Finland
1017,,Rosaceae,Rubus,,,1017,Linnaeus,Arctiidae,Callimorpha,dominula,,,Finland
1022,on leaves,Fagaceae,Quercus,,,1022,Linnaeus,Arctiidae,Callimorpha,dominula,,,British Isles
1080,,Cyperaceae,Eleocharis,,,1080,Hübner,Arctiidae,Cisseps,fulvicollis,,,Nearctic
1015,,Rosaceae,Prunus,,,1015,Linnaeus,Arctiidae,Callimorpha,dominula,,,Finland
1093,,Pinaceae,Picea,glauca,,1093,Packard,Arctiidae,Clemensia,albata,,Y,Nearctic
1020,,Urticaceae,Urtica,,,1020,Linnaeus,Arctiidae,Callimorpha,dominula,,,Finland
1021,on herbaceous plants,Polyphagous,,,,1021,Linnaeus,Arctiidae,Callimorpha,dominula,,,British Isles
1108,,Gramineae,Agrostis,stolonifera,,1108,Linnaeus,Arctiidae,Coscinia,cribraria,,,Finland
1081,,Compositae,Eupatorium,,,1081,Hübner,Arctiidae,Cisseps,fulvicollis,,,Nearctic
1109,,Ericaceae,Calluna,vulgaris,,1109,Linnaeus,Arctiidae,Coscinia,cribraria,,,Finland
1082,,Compositae,Solidago,,,1082,Hübner,Arctiidae,Cisseps,fulvicollis,,,Nearctic
1084,on grasses,Gramineae,,,,1084,Hübner,Arctiidae,Cisseps,fulvicollis,,,Nearctic
1085,,Lichenes,Ramalina,menziesii,,1085,Boisduval,Arctiidae,Cisthene,faustinula,,,Nearctic
1078,,Lichenes,,,,1078,Hübner,Arctiidae,Cisseps,fulvicollis,,,Nearctic
1099,,Apocynaceae,Echites,umbellata,,1099,Herrich-Schäffer,Arctiidae,Composia,fidelissima,,,Nearctic
975,on lichens,Lichenes,,,,975,Linnaeus,Arctiidae,Atolmis,rubricollis,,,British Isles
1112,,Gramineae,Festuca,rubra,,1112,Linnaeus,Arctiidae,Coscinia,cribraria,,,Finland
1098,,Leguminosae (P),Canavalia,rosea,,1098,Herrich-Schäffer,Arctiidae,Composia,fidelissima,,,Nearctic
1007,,Boraginaceae,Cynoglossum,,,1007,Linnaeus,Arctiidae,Callimorpha,dominula,,,Finland
1011,,Labiatae,Lamium,,,1011,Linnaeus,Arctiidae,Callimorpha,dominula,,,Finland
1129,on lichens on trees,Lichenes,,,,1129,Packard,Arctiidae,Crambidia,casta,,,Nearctic
1125,,Compositae,Mikania,scandens,,1125,Linnaeus,Arctiidae,Cosmosoma,auge,,,Nearctic
1000,,Polygonaceae,Polygonum,,,1000,Eversmann,Arctiidae,Borearctia,menetriesii,,,Finland
1012,,Caprifoliaceae,Lonicera,,,1012,Linnaeus,Arctiidae,Callimorpha,dominula,,,Finland
1001,,Compositae,Taraxacum,,,1001,Eversmann,Arctiidae,Borearctia,menetriesii,,,Finland
1014,,Salicaceae,Populus,,,1014,Linnaeus,Arctiidae,Callimorpha,dominula,,,Finland
1010,,Geraniaceae,Geranium,,,1010,Linnaeus,Arctiidae,Callimorpha,dominula,,,Finland
1019,,Ulmaceae,Ulmus,,,1019,Linnaeus,Arctiidae,Callimorpha,dominula,,,Finland
1023,on leaves,Boraginaceae,Symphytum,,,1023,Linnaeus,Arctiidae,Callimorpha,dominula,,,British Isles
1077,,Gramineae,,,,1077,Hübner,Arctiidae,Cisseps,fulvicollis,,,Nearctic
1221,,Gramineae,Leymus,condensatus,,1221,Stretch,Arctiidae,Ctenucha,brunnea,,,Nearctic
1083,,Gramineae,Zea,mays,,1083,Hübner,Arctiidae,Cisseps,fulvicollis,,,Nearctic
1088,,Pinaceae,Abies,balsamea,,1088,Packard,Arctiidae,Clemensia,albata,,Y,Nearctic
1229,,Cyperaceae,,,,1229,Esper,Arctiidae,Ctenucha,virginica,,,Nearctic
1100,,Asclepiadaceae,Stephanotis,,,1100,Herrich-Schäffer,Arctiidae,Composia,fidelissima,,,Nearctic
1230,,Gramineae,,,,1230,Esper,Arctiidae,Ctenucha,virginica,,,Nearctic
1223,,Gramineae,Sorghum,halepense,,1223,Stretch,Arctiidae,Ctenucha,brunnea,,,Nearctic
1232,,Gramineae,Agrostis,,,1232,Esper,Arctiidae,Ctenucha,virginica,,,Nearctic
1096,on lichens,Lichenes,,,,1096,Packard,Arctiidae,Clemensia,albata,,,Nearctic
1238,,Gramineae,Echinochloa,crus-galli,,1238,Esper,Arctiidae,Ctenucha,virginica,,,Nearctic
1224,,Caprifoliaceae,Symphoricarpos,albus,,1224,Walker,Arctiidae,Ctenucha,multifaria,,,Nearctic
1244,,Gramineae,Panicum,capillare,,1244,Esper,Arctiidae,Ctenucha,virginica,,,Nearctic
1110,,Gramineae,Elymus,arenarius,,1110,Linnaeus,Arctiidae,Coscinia,cribraria,,,Finland
1243,,Gramineae,Panicum,,,1243,Esper,Arctiidae,Ctenucha,virginica,,,Nearctic
1247,on low plants,Polyphagous,,,,1247,Esper,Arctiidae,Ctenucha,virginica,,,Nearctic
1111,,Gramineae,Elytrigia,repens,,1111,Linnaeus,Arctiidae,Coscinia,cribraria,,,Finland
1245,,Gramineae,Phleum,pratense,,1245,Esper,Arctiidae,Ctenucha,virginica,,,Nearctic
1236,,Gramineae,Calamagrostis,canadensis,,1236,Esper,Arctiidae,Ctenucha,virginica,,,Nearctic
1115,on herbaceous plants,Polyphagous,,,,1115,Linnaeus,Arctiidae,Coscinia,cribraria,,,British Isles
1241,,Gramineae,Lolium,perenne,,1241,Esper,Arctiidae,Ctenucha,virginica,,,Nearctic
1256,,Lichenes,,,,1256,Linnaeus,Arctiidae,Cybosia,mesomella,,,Finland
1113,,Gramineae,Phalaris,arundinacea,,1113,Linnaeus,Arctiidae,Coscinia,cribraria,,,Finland
1114,,Ericaceae,Vaccinium,uliginosum,,1114,Linnaeus,Arctiidae,Coscinia,cribraria,,,Finland
1257,,Compositae,Leontodon,autumnalis,,1257,Linnaeus,Arctiidae,Cybosia,mesomella,,,Finland
1258,,Ericaceae,Vaccinium,uliginosum,,1258,Linnaeus,Arctiidae,Cybosia,mesomella,,,Finland
