_id,Damage,Hostplant Family,Hostplant Genus,Hostplant Species,Hostplant Subspecies/var,HOSTS ID,Insect Author,Insect Family,Insect Genus,Insect Species,Insect Subspecies,Lab Rearing,Location
101084,,Cactaceae,,,,101084,Hulst,Pyralidae,Cactobrosis,fernaldialis,,,Nearctic
100176,,Juglandaceae,Carya,,,100176,Zeller,Pyralidae,Acrobasis,indigenella,,,Nearctic
100196,,Rosaceae,Pyracantha,,,100196,Zeller,Pyralidae,Acrobasis,indigenella,,,Nearctic
100201,on,Rosaceae,Crataegus,,,100201,Zeller,Pyralidae,Acrobasis,indigenella,,,Nearctic
100204,on leaves,Rosaceae,Cotoneaster,,,100204,Zeller,Pyralidae,Acrobasis,indigenella,,,Nearctic
99898,,Compositae,Solidago,,,99898,Fitch,Pterophoridae,Trichoptilus,lobidactylus,,,Nearctic
100209,on leaves,Rosaceae,Prunus,domestica,,100209,Zeller,Pyralidae,Acrobasis,indigenella,,,Nearctic
99461,on,Labiatae,Origanum,,,99461,Zeller,Pterophoridae,Merrifieldia,baliodactylus,,,British Isles
99901,on terminal buds,Compositae,Solidago,,,99901,Fitch,Pterophoridae,Trichoptilus,lobidactylus,,,Nearctic
100216,,Juglandaceae,Carya,illinoinensis,,100216,le Baron,Pyralidae,Acrobasis,juglandis,,,Nearctic
99462,on,Labiatae,Marrubium,vulgare,,99462,Curtis,Pterophoridae,Merrifieldia,spilodactylus,,,British Isles
100226,on,Juglandaceae,Carya,,,100226,le Baron,Pyralidae,Acrobasis,juglandis,,,Nearctic
100231,on buds/flowers/leaves,Juglandaceae,Juglans,nigra,,100231,le Baron,Pyralidae,Acrobasis,juglandis,,,Nearctic
100233,,Juglandaceae,Carya,,,100233,Dyar,Pyralidae,Acrobasis,kearfottella,,,Nearctic
100245,,Juglandaceae,Carya,illinoinensis,,100245,Dyar,Pyralidae,Acrobasis,latifasciella,,,Nearctic
100247,,Fagaceae,Quercus,,,100247,Ragonot,Pyralidae,Acrobasis,minimella,,,Nearctic
99935,in,Hydrocharitaceae,Elodea,,,99935,Denis & Schiff.,Pyralidae,Acentria,ephemerella,,,British Isles
99939,,Elatinaceae,Elatine,americana,,99939,Olivier,Pyralidae,Acentria,nivea,,,Nearctic
101146,,Moraceae,Ficus,carica,,101146,Walker,Pyralidae,Cadra,cautella,,,Nearctic
100268,,Corylaceae,Ostrya,virginiana,,100268,Ely,Pyralidae,Acrobasis,ostryella,,,Nearctic
